seq_rows,seq_cols,coeffs
863,290,1.0
864,290,1.0
865,290,1.0
866,290,1.0
867,290,1.0
868,290,1.0
869,290,1.0
870,290,1.0
871,290,1.0
872,290,1.0
873,292,1.0
874,292,1.0
875,292,1.0
876,292,1.0
877,292,1.0
878,293,1.0
879,293,1.0
880,294,1.0
881,294,1.0
882,294,1.0
883,294,1.0
884,294,1.0
885,294,1.0
886,295,1.0
887,295,1.0
888,295,1.0
889,295,1.0
890,295,1.0
891,295,1.0
892,296,1.0
893,296,1.0
894,296,1.0
895,296,1.0
896,296,1.0
897,296,1.0
898,296,1.0
899,296,1.0
900,296,1.0
901,296,1.0
902,296,1.0
903,297,1.0
904,297,1.0
905,297,1.0
906,297,1.0
907,298,1.0
908,298,1.0
909,298,1.0
910,298,1.0
911,298,1.0
912,298,1.0
913,298,1.0
914,298,1.0
915,298,1.0
916,298,1.0
917,298,1.0
918,298,1.0
919,298,1.0
920,298,1.0
921,298,1.0
922,298,1.0
923,397,1.0
924,299,1.0
925,299,1.0
926,300,1.0
927,300,1.0
928,300,1.0
929,300,1.0
930,301,1.0
931,302,1.0
932,303,1.0
933,304,1.0
934,304,1.0
935,304,1.0
936,305,1.0
937,306,1.0
938,306,1.0
939,306,1.0
940,306,1.0
941,306,1.0
942,306,1.0
943,307,1.0
944,307,1.0
945,307,1.0
946,307,1.0
947,307,1.0
948,307,1.0
949,308,1.0
950,308,1.0
951,308,1.0
952,309,1.0
953,310,1.0
954,310,1.0
955,311,1.0
956,311,1.0
957,311,1.0
958,311,1.0
959,311,1.0
960,311,1.0
961,312,1.0
962,312,1.0
963,312,1.0
964,312,1.0
965,312,1.0
966,312,1.0
967,312,1.0
968,313,1.0
969,315,1.0
970,315,1.0
971,314,1.0
972,315,1.0
973,316,1.0
974,316,1.0
975,316,1.0
976,316,1.0
977,316,1.0
978,317,1.0
979,317,1.0
980,317,1.0
981,317,1.0
982,317,1.0
983,317,1.0
984,317,1.0
985,317,1.0
986,317,1.0
987,317,1.0
988,318,1.0
989,318,1.0
990,318,1.0
991,318,1.0
992,318,1.0
993,319,1.0
994,319,1.0
995,319,1.0
996,319,1.0
997,319,1.0
998,320,1.0
999,321,1.0
1000,321,1.0
1001,321,1.0
1002,321,1.0
1003,321,1.0
1004,322,1.0
1005,322,1.0
1006,322,1.0
1007,322,1.0
1008,323,1.0
1009,323,1.0
1010,323,1.0
1011,323,1.0
1012,323,1.0
1013,323,1.0
1014,323,1.0
1015,324,0.5
1015,325,0.5
1016,326,1.0
1017,326,1.0
1018,326,1.0
1019,326,1.0
1020,326,1.0
1021,326,1.0
1022,326,1.0
1023,326,1.0
1024,327,1.0
1025,327,1.0
1026,327,1.0
1027,328,1.0
1028,328,1.0
